index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end,avg_width,avg_length
0,1874553,29,122,00:01.9,00:11.2,0,1,9.3,1,1,1802,left_to_right,Brisbane FC,3,False,False,True,create,1,medium_block,9,0.39,0.65,3,center,2,middle_third,False,26.74,32.58,1,wide_left,3,attacking_third,False,48.81,48.27,40.76,66.28,36.59,39.2,43.13,60.42,48.540000000000006,53.519999999999996
1,1874553,122,182,00:11.2,00:17.2,0,11,6.0,1,1,1802,left_to_right,Brisbane FC,2,True,False,True,finish,2,low_block,8,27.56,32.49,1,wide_left,3,attacking_third,False,37.48,2.24,3,center,3,attacking_third,True,47.99,30.85,66.78,74.77,39.12,30.18,60.42,47.14,39.42,70.775
2,1874553,182,257,00:17.2,00:24.7,0,17,7.5,1,2,866,right_to_left,Adelaide United,1,True,False,False,chaotic,5,chaotic,5,-37.17,-2.2,3,center,1,defensive_third,False,26.09,28.16,1,wide_left,3,attacking_third,False,29.92,33.52,46.88,59.09,30.59,45.9,74.37,59.43,31.720000000000002,52.985
3,1874553,257,305,00:24.7,00:29.5,0,24,4.8,1,1,1802,left_to_right,Brisbane FC,2,True,False,False,chaotic,5,chaotic,5,-26.45,-28.18,5,wide_right,1,defensive_third,False,-24.13,-25.58,5,wide_right,1,defensive_third,False,46.18,53.77,59.41,49.35,33.59,35.67,59.52,59.54,49.975,54.379999999999995
4,1874553,305,387,00:29.5,00:37.7,0,29,8.2,1,2,866,right_to_left,Adelaide United,2,True,False,False,finish,2,low_block,8,23.93,25.99,1,wide_left,3,attacking_third,False,50.75,18.41,2,half_space_left,3,attacking_third,True,35.97,35.48,59.24,81.85,53.75,35.49,49.1,46.53,35.724999999999994,70.545
5,1874553,416,426,00:40.6,00:41.6,0,40,1.0,1,1,1802,left_to_right,Brisbane FC,1,False,False,False,create,1,medium_block,9,-39.43,-29.77,5,wide_right,1,defensive_third,False,-32.52,-32.95,5,wide_right,1,defensive_third,False,37.93,38.17,41.7,39.97,35.75,35.54,73.69,71.5,38.05,40.835
6,1874553,437,491,00:42.7,00:48.1,0,42,5.4,1,1,1802,left_to_right,Brisbane FC,1,True,False,False,chaotic,5,chaotic,5,-17.36,-34.81,5,wide_right,2,middle_third,False,-18.85,-35.55,5,wide_right,1,defensive_third,False,38.02,32.8,38.94,44.09,35.37,40.28,69.4,67.79,35.41,41.515
7,1874553,491,531,00:48.1,00:52.1,0,48,4.0,1,2,866,right_to_left,Adelaide United,2,False,False,False,chaotic,5,chaotic,5,20.61,34.96,1,wide_left,3,attacking_third,False,48.03,28.51,1,wide_left,3,attacking_third,False,40.15,36.87,68.06,75.1,32.59,30.03,44.19,46.89,38.51,71.58
8,1874553,623,791,01:01.3,01:18.1,1,1,16.8,1,2,866,right_to_left,Adelaide United,6,False,False,False,create,1,medium_block,9,-11.39,15.57,2,half_space_left,2,middle_third,False,-19.97,-17.35,4,half_space_right,1,defensive_third,False,51.51,60.35,55.39,53.47,34.81,39.92,43.21,54.2,55.93,54.43
9,1874553,791,923,01:18.1,01:31.3,1,18,13.2,1,2,866,right_to_left,Adelaide United,6,False,False,False,build_up,0,high_block,10,-20.57,-16.96,4,half_space_right,1,defensive_third,False,-20.02,-26.76,5,wide_right,1,defensive_third,False,60.34,60.3,53.37,49.44,39.89,37.85,54.7,64.44,60.32,51.405
10,1874553,923,965,01:31.3,01:35.5,1,31,4.2,1,2,866,right_to_left,Adelaide United,1,False,False,False,create,1,medium_block,9,-19.53,-26.78,5,wide_right,1,defensive_third,False,-19.21,-21.1,5,wide_right,1,defensive_third,False,60.4,59.35,49.53,51.2,37.92,38.59,64.19,55.75,59.875,50.365
11,1874553,965,985,01:35.5,01:37.5,1,35,2.0,1,2,866,right_to_left,Adelaide United,1,False,False,False,build_up,0,high_block,10,-20.2,-20.35,5,wide_right,1,defensive_third,False,-20.35,-25.71,5,wide_right,1,defensive_third,False,59.38,59.78,51.17,51.58,38.52,37.93,55.98,61.38,59.58,51.375
12,1874553,985,1007,01:37.5,01:39.7,1,37,2.2,1,2,866,right_to_left,Adelaide United,1,False,False,False,create,1,medium_block,9,-19.95,-26.43,5,wide_right,1,defensive_third,False,-19.7,-25.95,5,wide_right,1,defensive_third,False,59.83,60.43,51.62,52.11,37.92,37.0,61.46,60.5,60.129999999999995,51.864999999999995
13,1874553,1007,1117,01:39.7,01:50.7,1,39,11.0,1,2,866,right_to_left,Adelaide United,4,False,False,False,build_up,0,high_block,10,-20.04,-25.64,5,wide_right,1,defensive_third,False,-39.76,-30.97,5,wide_right,1,defensive_third,False,60.42,61.05,52.09,48.19,36.93,38.56,60.53,64.61,60.735,50.14
14,1874553,1259,1286,02:04.9,02:07.6,2,4,2.7,1,2,866,right_to_left,Adelaide United,2,False,False,False,chaotic,5,chaotic,5,-37.48,-31.25,5,wide_right,1,defensive_third,False,-40.45,-30.84,5,wide_right,1,defensive_third,False,53.72,53.11,42.43,43.47,34.14,35.13,62.5,70.35,53.415,42.95
15,1874553,1286,1323,02:07.6,02:11.3,2,7,3.7,1,2,866,right_to_left,Adelaide United,1,True,False,False,direct,6,defending_direct,15,-40.06,-31.01,5,wide_right,1,defensive_third,False,5.86,-18.57,4,half_space_right,2,middle_third,False,53.03,40.48,43.53,53.67,35.17,34.7,70.37,64.87,46.754999999999995,48.6
16,1874553,1323,1333,02:11.3,02:12.3,2,11,1.0,1,1,1802,left_to_right,Brisbane FC,1,True,False,False,chaotic,5,chaotic,5,-6.07,18.25,2,half_space_left,2,middle_third,False,1.47,24.54,1,wide_left,2,middle_third,False,34.61,33.72,64.59,61.64,40.05,37.02,53.79,53.87,34.165,63.115
17,1874553,1408,1615,02:19.8,02:40.5,2,19,20.7,1,2,866,right_to_left,Adelaide United,8,False,False,False,build_up,0,high_block,10,-27.24,-32.12,5,wide_right,1,defensive_third,False,-20.42,29.17,1,wide_left,1,defensive_third,False,44.52,59.59,50.49,48.74,31.97,36.14,56.49,67.53,52.05500000000001,49.615
18,1874553,1615,1671,02:40.5,02:46.1,2,40,5.6,1,2,866,right_to_left,Adelaide United,1,False,False,False,create,1,medium_block,9,-19.82,29.32,1,wide_left,1,defensive_third,False,18.58,22.91,1,wide_left,3,attacking_third,False,59.69,52.03,48.96,64.07,36.14,31.31,67.35,61.04,55.86,56.515
19,1874553,1671,1687,02:46.1,02:47.7,2,46,1.6,1,2,866,right_to_left,Adelaide United,1,True,False,False,finish,2,low_block,8,19.35,22.62,1,wide_left,3,attacking_third,False,30.88,19.34,2,half_space_left,3,attacking_third,False,51.57,45.98,64.58,71.9,31.21,29.52,60.93,60.17,48.775,68.24000000000001
20,1874553,1687,1697,02:47.7,02:48.7,2,47,1.0,1,1,1802,left_to_right,Brisbane FC,1,False,False,False,chaotic,5,chaotic,5,-32.1,-18.13,4,half_space_right,1,defensive_third,False,-43.94,-2.27,3,center,1,defensive_third,False,29.37,28.11,60.05,58.55,45.71,43.12,72.31,75.76,28.740000000000002,59.3
21,1874553,2190,2229,03:38.0,03:41.9,3,38,3.9,1,1,1802,left_to_right,Brisbane FC,1,True,False,False,direct,6,defending_direct,15,,,2,half_space_left,2,middle_third,False,12.52,-5.67,3,center,2,middle_third,False,,21.43,,59.16,,25.78,,46.38,21.43,59.16
22,1874553,2229,2306,03:41.9,03:49.6,3,41,7.7,1,2,866,right_to_left,Adelaide United,2,False,False,False,create,1,medium_block,9,-12.72,5.23,3,center,2,middle_third,False,19.74,-26.73,5,wide_right,3,attacking_third,False,26.04,44.33,46.41,61.63,21.39,28.87,59.15,49.97,35.185,54.019999999999996
23,1874553,2306,2388,03:49.6,03:57.8,3,49,8.2,1,2,866,right_to_left,Adelaide United,3,True,False,False,finish,2,low_block,8,20.3,-26.54,5,wide_right,3,attacking_third,False,39.46,-31.71,5,wide_right,3,attacking_third,False,43.88,33.87,62.04,63.49,28.5,31.61,49.79,34.2,38.875,62.765
24,1874553,2569,2638,04:15.9,04:22.8,4,15,6.9,1,1,1802,left_to_right,Brisbane FC,1,True,False,False,chaotic,5,chaotic,5,-33.74,33.67,1,wide_left,1,defensive_third,False,4.81,17.28,2,half_space_left,2,middle_third,False,29.0,25.01,36.13,36.6,23.95,29.21,62.45,53.37,27.005000000000003,36.365
25,1874553,2638,2722,04:22.8,04:31.2,4,22,8.4,1,2,866,right_to_left,Adelaide United,2,False,False,False,create,1,medium_block,9,-5.29,-17.04,4,half_space_right,2,middle_third,False,-19.16,13.22,2,half_space_left,1,defensive_third,False,29.52,56.86,53.24,43.32,25.12,33.31,36.81,51.54,43.19,48.28
26,1874553,2722,2752,04:31.2,04:34.2,4,31,3.0,1,2,866,right_to_left,Adelaide United,1,False,False,False,build_up,0,high_block,10,-20.46,11.95,2,half_space_left,1,defensive_third,False,-33.15,-2.95,3,center,1,defensive_third,False,56.97,60.74,43.11,39.6,33.45,37.83,51.98,63.89,58.855000000000004,41.355000000000004
27,1874553,2752,2783,04:34.2,04:37.3,4,34,3.1,1,2,866,right_to_left,Adelaide United,1,True,False,False,direct,6,defending_direct,15,-33.06,-3.49,3,center,1,defensive_third,False,2.22,-22.48,5,wide_right,2,middle_third,False,60.79,59.57,39.44,47.27,37.95,33.65,64.1,61.7,60.18,43.355000000000004
