role,name,x,y,teammate
shooter,Kylian Mbappé,104.8,30.1,True
freeze_frame_player,Damián Emiliano Martínez,117.7,37.9,False
freeze_frame_player,Nicolás Alejandro Tagliafico,102.8,41.9,False
freeze_frame_player,Alexis Mac Allister,100.3,45.1,False
freeze_frame_player,Marcos Javier Acuña,99.5,46.5,False
freeze_frame_player,Nicolás Hernán Otamendi,103.5,36.0,False
freeze_frame_player,Cristian Gabriel Romero,99.0,35.3,False
freeze_frame_player,Nahuel Molina Lucero,102.2,27.0,False
freeze_frame_player,Enzo Fernandez,94.0,37.7,False
freeze_frame_player,Kingsley Coman,98.1,65.9,True
freeze_frame_player,Randal Kolo Muani,104.2,42.6,True
freeze_frame_player,Marcus Thuram,101.1,37.1,True
